MODEL,VARIANT,PRODUCT_ID,VARIANT_ID,WIDTH_IN,HEIGHT_IN,MIN_DPI,REC_DPI,MIN_IMG_WIDTH_PX,MIN_IMG_HEIGTH_PX,REC_IMG_WIDTH_PX,REC_IMG_HEIGTH_PX
Poster,8x10,1,4463,8,10,150,300,1200,1500,2400,3000
Poster,10x10,1,6239,10,10,150,300,1500,1500,3000,3000
Poster,12x12,1,4464,12,12,150,300,1800,1800,3600,3600
Poster,12x16,1,1349,12,16,150,300,1800,2400,3600,4800
Poster,12x18,1,3876,12,18,150,300,1800,2700,3600,5400
Poster,14x14,1,6240,14,14,150,300,2100,2100,4200,4200
Poster,16x16,1,4465,16,16,150,300,2400,2400,4800,4800
Poster,16x20,1,3877,16,20,150,300,2400,3000,4800,6000
Poster,18x18,1,6242,18,18,150,300,2700,2700,5400,5400
Poster,18x24,1,1,18,24,150,300,2700,3600,5400,7200
Poster,24x36,1,2,24,36,150,300,3600,5400,7200,10800
ToteBag,Black,84,4533,17,33,150,300,2550,4950,5100,9900
ToteBag,Red,84,8904,17,33,150,300,2550,4950,5100,9900
ToteBag,Yellow,84,8905,17,33,150,300,2550,4950,5100,9900
iPhoneCase,iPhone 6 Plus/6s Plus,181,7157,2.93,6.1,300,300,879,1830,879,1830
iPhoneCase,iPhone 6/6s,181,7156,2.93,6.1,300,300,879,1830,879,1830
iPhoneCase,iPhone 7 Plus/8 Plus,181,7911,2.93,6.1,300,300,879,1830,879,1830
iPhoneCase,iPhone 7/8,181,7910,2.93,6.1,300,300,879,1830,879,1830
iPhoneCase,iPhone X/XS,181,8933,2.93,6.1,300,300,879,1830,879,1830
iPhoneCase,iPhone XR,181,9621,2.93,6.1,300,300,879,1830,879,1830
iPhoneCase,iPhone XS Max,181,9620,2.93,6.1,300,300,879,1830,879,1830
